Name,Commune du candidat,Maire sortant de,Photo,Articles,Attachment Summary
Gilles Simeoni,Bastia,,BASTIA Gilles Simeoni.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769976000000/jbSJRQbIOPBSz5wSJFnsYw/2tEhguLpof_-1W7URiVXCRiL9O_IhPafm7HW6BnKbkZgr7ipFSoYmH4QWP2pPsQwf9ZL9UlQ4zkogyPm-icF7bPSKMDO61J8YtDIrIhCES7SffttYC4WvQYLDgFiTLv_R3RA14rjFHNQSlMUSRoV9yM-FY6jpHrAbjcDXNc3o68/Jj1q5QI_A3n32EihGzQ3eVtnMNdJrrLHxVQFfaq44yY),,
Georges Mela,Porto-Vecchio,,,,
Vanina Chiarelli-Luzi,Porto-Vecchio,,,,
Jean-Paul Carrolaggi,Ajaccio,,AJACCIO Jean Paul Carrolaggi.pg.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769976000000/ksyFP-0bI9PqtngeS544CA/3vhF_VTo-cTKqeVw19Jiqr9RCN36aAyvV7VUe3FAKo6SZdw0Zjid3NTUFLB4jj_EAzcYs9DaEcqF4SSj0F3qYErwkd7jZtZqPoWaUba5chP-9dHAr3fryyEAeDHTu0k3p3xy2P9EB_bmxChNYI-Gjki1QWCENoscIV-wVYcJzZ7MIhH1cKlRfMJtMjR4MZWg/YVsZAY_o96UtrHozsWxmzv9-G-bjB_aPWkph86WnH2M),,
Philippe de la Foata,Ajaccio,,AJACCIO P de la Foata.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769976000000/-JBqfYS40K-_wTyca-t-2w/st6YOUPIMnSiIuBI2yoWhvqlvQH8Orzc1ibyi0I6Kc1eS_SqgNOqupd4WXUC7rEO4kdewVw9MwV-968QPQf6m_FR5c_XY34lOHmaJ3kL5C4oSsIwdOTdLvI2jwNrEgQk88_uNPsGrJCb_23eKcQ34DhCzmzLoH-gXlAy6llsMkg/txVQnm8psEYBRrhjRBm84COa80CBQaj0r5EQiZfpktw),,
Julien Morganti,Bastia,,BASTIA Julien Morganti.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1769976000000/eDQqg8LlPeSYuA3sUTtfyg/JsDXHnxkXW7kNFn-RAX-NuWe3SIjUwLB3btLbLlQo5xQtL6TLq8awzERa-psVJvOjf68_C9q20W1EX_yopsT1bS9eKpDefWP4G1FhtlCJAATQiC-_sdMnF9tOvn-JvnNY5qjS-fdAWdIoUas9tBFp8g6CGZuXQWcYS7yzVEljj8/1Xydu59SlK6ZhvSa8ZIELDH0j3W9pKOcVcl52ZugXd0),,
Nicolas Battini,Bastia,,BASTIA Nicolas Battini.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769976000000/N22pJkYLVzjkVdpvfzHXag/zORmEX1nzVGkbQlQWt4ienWCLvkvh4Mcb0AScEwr6ZN3-Z2RdyAaLbXZOrWGFO5c1qZj2HNmVdR6Jx54-UE5-3eTXKKKJ_FIqKJFho7y4BVaTbegaXYv2NKaZrK1xZclNAVXT8r5EbiiDaoMbsU3iICWSolQc7URY-Sfj4oum-k/DDTY411OetUO8e6S6WPpUcpLswY5VGDKWTAZuVpajlk),,
Pascal Zagnoli,Ajaccio,,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769976000000/XBubD0DF_MUgTCz6HxxFBQ/HwAI2LOtHiYITKi3FxVArTUVnqTbFcxludjcwbSedH7twzvbUo6-C3XAYjNsHBLV-g1kzh8PC573su8a8BzKEWzgOdzGz4Y1ilhMDbMizXJB-z4ceTj2MsPCm7TfcDfwpD-Q30jt0Jr7sql0nXx6HA/R3jnLRTtz-0ldsTUK7BaiEugFQuIvDABoXEG7bi6BzY),,
Jean-Martin Mondoloni,Bastia,,BASTIA Jean Martin Mondoloni.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769976000000/mDROYOz6wHNdfs4GGeLqmg/HiNGHl-Y7YIrdnrdhh7uV_KDdi6JVQ7FC-9tGJBjcfgFzjQNn4EnUsc3ecUEcc_6Q40N2GY-L1822s-9svRZBgaB-Woie_bNpgPCr41fy3y8ubcuVdbnbf5vkJXt2BYY_9X4nz44LxKhP_pdxwsEDYPyE0qBTWLiz8kA3NnvWUuA3n_J5WcENgQPDDpE_jLH/fTIMq6ZwOUwh699XCOWgbfreki47hxE0yiEDl9CyZkA),,
Francis Riolacci,Bastia,,BASTIA Francis Riolacci.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1769976000000/MzP0oN8tpOgqJ5AqQbdL4Q/tov_M46kYEvKNeDDiH4eswRRZsBBzdp4iJYJR6441V7lflyK_VkI__Ek5RPq4ic3XD3pie2lFnrvnMDw9oH1Xl-TGk5N9F1So0ymh5wQSqsrNOBmCb5Qv8PfG04L8cadas2GLMGXrmFxadwrK7ogktqHcaDeH1uCaDUgMB6Oi8_1OBeTmIzt3mRmJXbUz8J0/WOM3cpsaJVWXAu8mIs9btBnbuyROTwXbFRJCGwq9bO0),,
Sacha Bastelica,Bastia,,BASTIA Sacha Bastelica.jpeg (https://v5.airtableusercontent.com/v3/u/49/49/1769976000000/fhOr1063OHgYmmYcFj_9jg/WGXAKdM14vazo272m9j9-Pjdz7Q8xE8XKAKnRwowJkYUHRQwo8V-_0dnfaDcRYoVShqEN14giGGLyJysbalIxAsB2DKJKx5SMgu5vTBNrCRVK2sOKEfPGx11An_MdoCtlWwHJigqACIirj-OqWV25HOVsk0uIN8N8EYIjuzSKB8/QpjIt5o7YJ0v6oOJ5gMjKMWjP5HXlQTpne8rI0OCqBM),,
Charlotte Cesari,Ajaccio,,AJACCIO Charlotte Cesari.jpg (https://v5.airtableusercontent.com/v3/u/49/49/1769976000000/JSeZovhDJR_oaPRIViRLBg/U4jF_-sEHH7WUDLiQrtmRuls0t5KPXRHHWHwx4dWGVb-DoIaB2wZIAdQ9ntS2AAkROvvUNh5bdxPzji-88z7b49Mszo8Oi07gn7iY3H67k2523iFzqZg7JURMptRIzh8Xk1JR3IJwglts6sbwzBzhcVPOmSH-ei5gJA8qe2nCw6n9VxcbXLltUYMo2VWkzD-/l3UcX-fMl7SOEJA-tuHE4S7KJIussODYAviq9S2aB78),,
