Nom Commune,Maire sortant,Habitants,EPCI,Nombre de listes,Candidats,Photo
Ajaccio,Stéphane Sbraggia,72647,Communauté d'agglomération du Pays Ajaccien,7,"Stéphane Sbraggia,Jean-Paul Carrolaggi,Philippe de la Foata,Pascal Zagnoli,Charlotte Cesari,François Filoni,François Casasoprana",image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/CrXTVrxqpNDsRjIGxe40jQ/R08FTP5-1G5M8SuFi7Z2QfVlfvdSjRid0eWBvfiI56Li1TGaTUnXK-bOh8etVCJnFYCLtT6MXmnzshyDxbwzTiFgu3VUiK6r4Nh_xCvLylozMQr7Z9MZxHwosmZJVUFM5Prskd_ZNd_VisfQ4to2Eg/GHuKig-VQiJwuCzOzUcl_Qfpg_w0WJ7bIzsipQcfOsE)
Bastia,Pierre Savelli,48296,Communauté d'agglomération de Bastia,6,"Gilles Simeoni,Julien Morganti,Nicolas Battini,Jean-Martin Mondoloni,Francis Riolacci,Sacha Bastelica",image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/ksQfj56xyHzdcr830E6SeQ/oe6Zl-MWyijRuunxdluBWzxgnM6ADunSbOXbU5GxLJ3ZGc4Ms3eppqGysc5hnUegbrWO9uerty8bqHx63w-L6VSLFuTnMaBP1greM3rbfDcJDdrZoSFS8rIJkH_InfoP34lXltL-Fdy-8ApXiioIqA/O-MASl6VDEW4UqP3CSAdUilz8RgXL9nTSKsGhehvPK8)
Porto-Vecchio,Jean-Christophe Angelini,11040,Communauté de communes du Sud Corse,3,"Jean-Christophe Angelini,Georges Mela,Vanina Chiarelli-Luzi",image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/8GYNQ4ScsLrKNkm-etXxsw/HE9c0T9CczOztA8U3pJQBY3Tp7nUeD8VE1QeUnmJoG7h8iS6DEq1pCyf8cQcsaKWRMykfL6_tXYquzamenBtZ14OH3HeWm6n7pGS0X2Dtu47TO_sprGc1e5IszxbthVkLiosZjWmIQGZ_UbQeiQMqg/pD0UkZ1NiUsTuJH1WL1FKvA-tECL1EfJyrljaYXSQOM)
Borgo,Anne Marie Natali,9254,Communauté de communes de Marana-Golo,1,Jean Dominici,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/2bjcPnEBrTetP_ItHrNYvw/7IE9sVeMhqh4b7tuS9hOX0QBoZLdRyvMcBCAxnCulW67PcxYK1Om0k0Xhd2tDjsBKG0_SfxuhaPZpc8RZoOgzmT3yMWS2pqGX4nQr6qH2kTEp9B1b9a60tbIHBA9WOeOqI6bS9aIW3hDlKrFFn5mpQ/Lo39pWI_0DwXuja4Tc2yTvMtjIFTYwhhWk10N9Wv2dg)
Biguglia,Jean-Charles Giabiconi,7732,Communauté de communes de Marana-Golo,2,"Jean-Charles Giabiconi,Paul Alfonsi",image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/rwYuxPr-L63BLja0wx48yA/qEAGEOry6m5JRcmJYHCymxOORGSaFswPagFVQWjfn3JToqrTvi_cYvfRVTeDIUJ85WD8c3fm03imJXl4J2QgQ5Ek2TGcf0rAXowsCZmF5wiXAEZVVIEy9eqM_Ks8LnJUvo328z27guhpZVwDP2MkXg/KVJlA84U-O3hsD5XxHroCuuYjvK8CMhJGF_zDWkuH6g)
Corte,Xavier Poli,7549,Communauté de communes du Centre Corse,0,,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/HkYcknG5QBYwwQeAe9Zw1g/YyaMc-choJ1svCyPTMZkAw4dTPZ_Y0ihe3MpPij40a3znzRzAfisjwjkoT05iwX4r6vAaNMdRt5ze_uPgJT7cuCDExMhIpE32gAe7F5lMwdxgO7465MXb7eUmKT7gypCe3eR6XTpgoJjuwSfoSsBbg/ypbYrBvNz6QMHCmhg2qizvxV-fuyU1zjnqgXUga19Eo)
Lucciana,François Acquaviva,6036,Communauté de communes de Marana-Golo,1,José Galletti,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/ZlBmWtKm4cp_M7LMJpZTCw/8PuEsYJ_Gv-97WUDHy2ul2RNpyfI6HjASCa6bFr8eiqJKboSZgbDIvFBeWudZJsHKV1YLUacCnSwk_xhi9L19fkOVi25xIRhXL-Infv3AzPCcexf9EByvckYpAibJHaPSKg74ti9OeAsEJALbvWfmw/qs-i9KLlsaVff53Sk9bdRTmJf1ArdcT_SUnHAlv7p2I)
Furiani,Pierre-Michel Simonpietri,5772,Communauté d'agglomération de Bastia,1,Enzo Martel,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/gsf-LPE0Xp6JaW-Mb8muvA/5lG9i_PE6c9qp9Lgt9pPQmUgvpVmrQkvV1jnMkBDHQGp0F79KEL03rRujoq6ILhmRmaxFoamzgR8ikNL5BR8qdeUp7WhC93Z0IUoMpVMBPadoK3MpftQMnl8X29gwSHHgKQEzsELuOowkOmMOi9aGQ/ZRAKd7A4w3df_OOJZT3lolPyu1Mfck329VP50emxYYs)
Calvi,Ange Santini,5766,Communauté de communes de Calvi Balagne,2,"Ange Santini,Jérôme Seveon",image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/H6XxVMtQaLt2AX1znawOzw/Wj0D7P4vK5lS-KY-3urh5iWKXq_u4MP-oXlr3nAOpWFDynqluA37w8eVtF9DG2q3mOjbcQmEI8KKn5jAjHaS5SzUONs_4W5KwK-ACLsjg75ZhPQtV7I5mkOj3Rbn_ldXaC7-c66LcVMouzSCJeZHDg/c_k2TaYjLOpZguC8XsXFUxrCtnpeIfE-3eG4TfLXwJU)
Bastelicaccia,Antoine Ottavi,4250,Communauté de communes Celavu-Prunelli,1,Félix Bruschi,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/p2tEF52vSJLCglvrlGzHfw/mgQmGi2n41YFbm1ZQmc5k4BV9wRK3R_QLOCQ0UAVUo83Nz-efwrL0R6kujofPzcFrqz7hXw8jeEdhyeqMXVRHXPoO7yzot8T1tKDKmuLOkn68UOl1JOp90dGjLnJpaf6hj7KE5GPr-kR7aHBnjHwfQ/BKjZ25VH9eiI5bUoAYjgLvaWlL6qnOX5o1c6Amqwsro)
Ghisonaccia,Francis Giudici,4215,Communauté de communes de Fium'Orbu Castellu,0,,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/bSKubT-LtAPSAlW8WZWeNA/1_yVI-9D7izCyOVRDAP1Od-tdjfHY9z05TbSMXBGyMCLBD01sGYPQG7P2KlC7b8PuiabOaOgCN9zB1I5exhVF_X9Q42oqU4nOXIA0w2Rpyw1NCaZhN1Hfn1CxMvvJ-t7Qp-nO4cEVkm_Xl2kmcsPzQ/kaeb30dGozZV62tkCpa4QPJEm6yX9wlt6O1wLrTiEIg)
Prunelli-di-Fiumorbo,André Rocchi,3719,Communauté de communes de Fium'Orbu Castellu,0,,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/KhGKynFU0d0v3Nfw0PAHHQ/9F8xvKu7s-5pJ3Ud9Nf1Aku7KpPh5OJFrlXP5wxrjqUlEWPVqLTi7ZZ8meVzglWNcedF7amjyUiM6jwbgdc_j6pUcwoOGVPkcV5X-TZQK2PZEyfbdnIslfENWieOghlnh_bFYW7vMef2DMSBOZxeDA/Hol5tH2eRgdMclkiSSku5cmtqDIJ9ybHMdsNzQvLvdw)
Propriano,Paul-Marie Marc Bartoli,3705,Communauté de communes du Sartenais Valinco Taravo,1,Paul-Marie Bartoli,image.png (https://v5.airtableusercontent.com/v3/u/49/49/1769990400000/PZDoT8-ZyXiNkEYNP9oQwg/D36snNIVUylorGR7eAxppSyR90soRlEyO02heKpRmwigL8ip4fZ5Mg7rr1b27YVJk0kGDAlAnx5kfYB9J0U5pronb8wZ69fuzgUTyYxDJ4gz-Fodd7lgV7A6Yz_6lxOkaGYYUjYepwU1SLqqLKxsUg/bRlw5yxe3YknkGRjKEIxgScMPSnScVUE8NwFF7QUMs4)
